Nobs,jour,consommation,Année
2193,2014-01-01,2732220.0,2014
2194,2014-01-02,2907995.0,2014
2195,2014-01-03,2955062.0,2014
2196,2014-01-04,2809731.0,2014
2197,2014-01-05,2794007.0,2014
2198,2014-01-06,3089094.0,2014
2199,2014-01-07,3066934.0,2014
2200,2014-01-08,3027217.0,2014
2201,2014-01-09,3080233.0,2014
2202,2014-01-10,3151864.0,2014
2203,2014-01-11,2877024.0,2014
2204,2014-01-12,2830811.0,2014
2205,2014-01-13,3185631.0,2014
2206,2014-01-14,3324206.0,2014
2207,2014-01-15,3410417.0,2014
2208,2014-01-16,3308216.0,2014
2209,2014-01-17,3235475.0,2014
2210,2014-01-18,2969511.0,2014
2211,2014-01-19,2829476.0,2014
2212,2014-01-20,3321655.0,2014
2213,2014-01-21,3470278.0,2014
2214,2014-01-22,3503814.0,2014
2215,2014-01-23,3458287.0,2014
2216,2014-01-24,3399602.0,2014
2217,2014-01-25,3089155.0,2014
2218,2014-01-26,2905899.0,2014
2219,2014-01-27,3359575.0,2014
2220,2014-01-28,3514230.0,2014
2221,2014-01-29,3523792.0,2014
2222,2014-01-30,3468358.0,2014
2223,2014-01-31,3494023.0,2014
2224,2014-02-01,3152003.0,2014
2225,2014-02-02,3015487.0,2014
2226,2014-02-03,3372133.0,2014
2227,2014-02-04,3377428.0,2014
2228,2014-02-05,3434317.0,2014
2229,2014-02-06,3385599.0,2014
2230,2014-02-07,3223509.0,2014
2231,2014-02-08,3039842.0,2014
2232,2014-02-09,2944254.0,2014
2233,2014-02-10,3259984.0,2014
2234,2014-02-11,3389923.0,2014
2235,2014-02-12,3400719.0,2014
2236,2014-02-13,3376571.0,2014
2237,2014-02-14,3322272.0,2014
2238,2014-02-15,2887033.0,2014
2239,2014-02-16,2780199.0,2014
2240,2014-02-17,3125846.0,2014
2241,2014-02-18,3239629.0,2014
2242,2014-02-19,3182563.0,2014
2243,2014-02-20,3124812.0,2014
2244,2014-02-21,3131721.0,2014
2245,2014-02-22,2913652.0,2014
2246,2014-02-23,2674136.0,2014
2247,2014-02-24,2987007.0,2014
2248,2014-02-25,3103568.0,2014
2249,2014-02-26,3144596.0,2014
2250,2014-02-27,3281697.0,2014
2251,2014-02-28,3285674.0,2014
2252,2014-03-01,2998597.0,2014
2253,2014-03-02,2846331.0,2014
2254,2014-03-03,3205806.0,2014
2255,2014-03-04,3223979.0,2014
2256,2014-03-05,3111043.0,2014
2257,2014-03-06,3088089.0,2014
2258,2014-03-07,3009638.0,2014
2259,2014-03-08,2615897.0,2014
2260,2014-03-09,2376967.0,2014
2261,2014-03-10,2725074.0,2014
2262,2014-03-11,2802120.0,2014
2263,2014-03-12,2801391.0,2014
2264,2014-03-13,2790418.0,2014
2265,2014-03-14,2731305.0,2014
2266,2014-03-15,2500584.0,2014
2267,2014-03-16,2315633.0,2014
2268,2014-03-17,2661697.0,2014
2269,2014-03-18,2776623.0,2014
2270,2014-03-19,2729126.0,2014
2271,2014-03-20,2684390.0,2014
2272,2014-03-21,2650605.0,2014
2273,2014-03-22,2531450.0,2014
2274,2014-03-23,2547902.0,2014
2275,2014-03-24,2929556.0,2014
2276,2014-03-25,3001496.0,2014
2277,2014-03-26,2987345.0,2014
2278,2014-03-27,2995615.0,2014
2279,2014-03-28,2898776.0,2014
2280,2014-03-29,2482018.0,2014
2281,2014-03-30,2266754.0,2014
2282,2014-03-31,2560120.0,2014
2283,2014-04-01,2557295.0,2014
2284,2014-04-02,2531508.0,2014
2285,2014-04-03,2576556.0,2014
2286,2014-04-04,2575992.0,2014
2287,2014-04-05,2292854.0,2014
2288,2014-04-06,2091831.0,2014
2289,2014-04-07,2406478.0,2014
2290,2014-04-08,2509271.0,2014
2291,2014-04-09,2560953.0,2014
2292,2014-04-10,2522169.0,2014
2293,2014-04-11,2459215.0,2014
2294,2014-04-12,2191341.0,2014
2295,2014-04-13,2059987.0,2014
2296,2014-04-14,2429774.0,2014
2297,2014-04-15,2519797.0,2014
2298,2014-04-16,2548999.0,2014
2299,2014-04-17,2523799.0,2014
2300,2014-04-18,2471723.0,2014
2301,2014-04-19,2297091.0,2014
2302,2014-04-20,2157148.0,2014
2303,2014-04-21,2158370.0,2014
2304,2014-04-22,2478287.0,2014
2305,2014-04-23,2487669.0,2014
2306,2014-04-24,2460894.0,2014
2307,2014-04-25,2449362.0,2014
2308,2014-04-26,2226447.0,2014
2309,2014-04-27,2140906.0,2014
2310,2014-04-28,2486787.0,2014
2311,2014-04-29,2537398.0,2014
2312,2014-04-30,2485785.0,2014
2313,2014-05-01,2065327.0,2014
2314,2014-05-02,2301730.0,2014
2315,2014-05-03,2204709.0,2014
2316,2014-05-04,2075147.0,2014
2317,2014-05-05,2355512.0,2014
2318,2014-05-06,2375926.0,2014
2319,2014-05-07,2379495.0,2014
2320,2014-05-08,2089286.0,2014
2321,2014-05-09,2204971.0,2014
2322,2014-05-10,2078543.0,2014
2323,2014-05-11,1991679.0,2014
2324,2014-05-12,2399615.0,2014
2325,2014-05-13,2485448.0,2014
2326,2014-05-14,2468847.0,2014
2327,2014-05-15,2437646.0,2014
2328,2014-05-16,2390563.0,2014
2329,2014-05-17,2073240.0,2014
2330,2014-05-18,1896427.0,2014
2331,2014-05-19,2242263.0,2014
2332,2014-05-20,2303931.0,2014
2333,2014-05-21,2339928.0,2014
2334,2014-05-22,2326959.0,2014
2335,2014-05-23,2312647.0,2014
2336,2014-05-24,2062633.0,2014
2337,2014-05-25,1924360.0,2014
2338,2014-05-26,2300941.0,2014
2339,2014-05-27,2378212.0,2014
2340,2014-05-28,2372763.0,2014
2341,2014-05-29,2025299.0,2014
2342,2014-05-30,2126310.0,2014
2343,2014-05-31,1978593.0,2014
2344,2014-06-01,1862209.0,2014
2345,2014-06-02,2225484.0,2014
2346,2014-06-03,2290859.0,2014
2347,2014-06-04,2329176.0,2014
2348,2014-06-05,2315806.0,2014
2349,2014-06-06,2285696.0,2014
2350,2014-06-07,2001343.0,2014
2351,2014-06-08,1834374.0,2014
2352,2014-06-09,1926056.0,2014
2353,2014-06-10,2268782.0,2014
2354,2014-06-11,2295703.0,2014
2355,2014-06-12,2321646.0,2014
2356,2014-06-13,2299444.0,2014
2357,2014-06-14,1991002.0,2014
2358,2014-06-15,1824852.0,2014
2359,2014-06-16,2200763.0,2014
2360,2014-06-17,2272580.0,2014
2361,2014-06-18,2275722.0,2014
2362,2014-06-19,2289991.0,2014
2363,2014-06-20,2272352.0,2014
2364,2014-06-21,2008327.0,2014
2365,2014-06-22,1867754.0,2014
2366,2014-06-23,2246131.0,2014
2367,2014-06-24,2313870.0,2014
2368,2014-06-25,2306646.0,2014
2369,2014-06-26,2308718.0,2014
2370,2014-06-27,2283109.0,2014
2371,2014-06-28,2012023.0,2014
2372,2014-06-29,1848124.0,2014
2373,2014-06-30,2195258.0,2014
2374,2014-07-01,2280698.0,2014
2375,2014-07-02,2293147.0,2014
2376,2014-07-03,2328331.0,2014
2377,2014-07-04,2294417.0,2014
2378,2014-07-05,2011444.0,2014
2379,2014-07-06,1863230.0,2014
2380,2014-07-07,2204504.0,2014
2381,2014-07-08,2279899.0,2014
2382,2014-07-09,2302121.0,2014
2383,2014-07-10,2328420.0,2014
2384,2014-07-11,2296488.0,2014
2385,2014-07-12,2009277.0,2014
2386,2014-07-13,1854736.0,2014
2387,2014-07-14,1876625.0,2014
2388,2014-07-15,2244431.0,2014
2389,2014-07-16,2325938.0,2014
2390,2014-07-17,2368247.0,2014
2391,2014-07-18,2359381.0,2014
2392,2014-07-19,2056654.0,2014
2393,2014-07-20,1864533.0,2014
2394,2014-07-21,2206352.0,2014
