Nobs,jour,consommation,Année
1828,2013-01-01,2618244.0,2013
1829,2013-01-02,3096087.0,2013
1830,2013-01-03,3199251.0,2013
1831,2013-01-04,3131892.0,2013
1832,2013-01-05,2887296.0,2013
1833,2013-01-06,2810018.0,2013
1834,2013-01-07,3257590.0,2013
1835,2013-01-08,3431906.0,2013
1836,2013-01-09,3501397.0,2013
1837,2013-01-10,3437686.0,2013
1838,2013-01-11,3362049.0,2013
1839,2013-01-12,3163767.0,2013
1840,2013-01-13,3102816.0,2013
1841,2013-01-14,3656732.0,2013
1842,2013-01-15,3764909.0,2013
1843,2013-01-16,3817454.0,2013
1844,2013-01-17,4011921.0,2013
1845,2013-01-18,4081044.0,2013
1846,2013-01-19,3666978.0,2013
1847,2013-01-20,3472311.0,2013
1848,2013-01-21,3754379.0,2013
1849,2013-01-22,3779337.0,2013
1850,2013-01-23,3753570.0,2013
1851,2013-01-24,3768548.0,2013
1852,2013-01-25,3900894.0,2013
1853,2013-01-26,3564364.0,2013
1854,2013-01-27,3251390.0,2013
1855,2013-01-28,3488720.0,2013
1856,2013-01-29,3425088.0,2013
1857,2013-01-30,3215000.0,2013
1858,2013-01-31,3218696.0,2013
1859,2013-02-01,3171954.0,2013
1860,2013-02-02,3069090.0,2013
1861,2013-02-03,3150131.0,2013
1862,2013-02-04,3370296.0,2013
1863,2013-02-05,3438202.0,2013
1864,2013-02-06,3595901.0,2013
1865,2013-02-07,3694639.0,2013
1866,2013-02-08,3618797.0,2013
1867,2013-02-09,3454693.0,2013
1868,2013-02-10,3335448.0,2013
1869,2013-02-11,3577580.0,2013
1870,2013-02-12,3699788.0,2013
1871,2013-02-13,3710993.0,2013
1872,2013-02-14,3696175.0,2013
1873,2013-02-15,3464893.0,2013
1874,2013-02-16,3184425.0,2013
1875,2013-02-17,3081298.0,2013
1876,2013-02-18,3405926.0,2013
1877,2013-02-19,3501034.0,2013
1878,2013-02-20,3497927.0,2013
1879,2013-02-21,3687636.0,2013
1880,2013-02-22,3792640.0,2013
1881,2013-02-23,3751974.0,2013
1882,2013-02-24,3617665.0,2013
1883,2013-02-25,3849197.0,2013
1884,2013-02-26,3817881.0,2013
1885,2013-02-27,3756260.0,2013
1886,2013-02-28,3680047.0,2013
1887,2013-03-01,3664954.0,2013
1888,2013-03-02,3355343.0,2013
1889,2013-03-03,3116604.0,2013
1890,2013-03-04,3325221.0,2013
1891,2013-03-05,3202560.0,2013
1892,2013-03-06,3091256.0,2013
1893,2013-03-07,2989464.0,2013
1894,2013-03-08,2914021.0,2013
1895,2013-03-09,2623382.0,2013
1896,2013-03-10,2583439.0,2013
1897,2013-03-11,3169441.0,2013
1898,2013-03-12,3464251.0,2013
1899,2013-03-13,3658569.0,2013
1900,2013-03-14,3641398.0,2013
1901,2013-03-15,3618149.0,2013
1902,2013-03-16,3244888.0,2013
1903,2013-03-17,2978513.0,2013
1904,2013-03-18,3360425.0,2013
1905,2013-03-19,3350198.0,2013
1906,2013-03-20,3287253.0,2013
1907,2013-03-21,3260464.0,2013
1908,2013-03-22,3070750.0,2013
1909,2013-03-23,2752524.0,2013
1910,2013-03-24,2706765.0,2013
1911,2013-03-25,3141131.0,2013
1912,2013-03-26,3246541.0,2013
1913,2013-03-27,3263252.0,2013
1914,2013-03-28,3282511.0,2013
1915,2013-03-29,3276812.0,2013
1916,2013-03-30,3007398.0,2013
1917,2013-03-31,2859758.0,2013
1918,2013-04-01,2886579.0,2013
1919,2013-04-02,3181652.0,2013
1920,2013-04-03,3186349.0,2013
1921,2013-04-04,3267973.0,2013
1922,2013-04-05,3279184.0,2013
1923,2013-04-06,3029914.0,2013
1924,2013-04-07,2794847.0,2013
1925,2013-04-08,3082997.0,2013
1926,2013-04-09,3074411.0,2013
1927,2013-04-10,2984736.0,2013
1928,2013-04-11,2873480.0,2013
1929,2013-04-12,2800460.0,2013
1930,2013-04-13,2481268.0,2013
1931,2013-04-14,2134529.0,2013
1932,2013-04-15,2401201.0,2013
1933,2013-04-16,2459188.0,2013
1934,2013-04-17,2413213.0,2013
1935,2013-04-18,2395168.0,2013
1936,2013-04-19,2485800.0,2013
1937,2013-04-20,2356792.0,2013
1938,2013-04-21,2232935.0,2013
1939,2013-04-22,2565246.0,2013
1940,2013-04-23,2570829.0,2013
1941,2013-04-24,2478132.0,2013
1942,2013-04-25,2390991.0,2013
1943,2013-04-26,2424094.0,2013
1944,2013-04-27,2342416.0,2013
1945,2013-04-28,2327440.0,2013
1946,2013-04-29,2687438.0,2013
1947,2013-04-30,2694212.0,2013
1948,2013-05-01,2230292.0,2013
1949,2013-05-02,2520556.0,2013
1950,2013-05-03,2504071.0,2013
1951,2013-05-04,2213652.0,2013
1952,2013-05-05,2014448.0,2013
1953,2013-05-06,2316050.0,2013
1954,2013-05-07,2312809.0,2013
1955,2013-05-08,2013767.0,2013
1956,2013-05-09,1974148.0,2013
1957,2013-05-10,2162649.0,2013
1958,2013-05-11,2091399.0,2013
