Nobs,jour,consommation,Année
1959,2013-05-12,2014554.0,2013
1960,2013-05-13,2399559.0,2013
1961,2013-05-14,2467437.0,2013
1962,2013-05-15,2489819.0,2013
1963,2013-05-16,2555397.0,2013
1964,2013-05-17,2516280.0,2013
1965,2013-05-18,2265107.0,2013
1966,2013-05-19,2132077.0,2013
1967,2013-05-20,2246177.0,2013
1968,2013-05-21,2605355.0,2013
1969,2013-05-22,2600234.0,2013
1970,2013-05-23,2619743.0,2013
1971,2013-05-24,2714824.0,2013
1972,2013-05-25,2411450.0,2013
1973,2013-05-26,2205941.0,2013
1974,2013-05-27,2459458.0,2013
1975,2013-05-28,2526894.0,2013
1976,2013-05-29,2591408.0,2013
1977,2013-05-30,2616476.0,2013
1978,2013-05-31,2546444.0,2013
1979,2013-06-01,2182623.0,2013
1980,2013-06-02,1982996.0,2013
1981,2013-06-03,2331209.0,2013
1982,2013-06-04,2357913.0,2013
1983,2013-06-05,2335485.0,2013
1984,2013-06-06,2318740.0,2013
1985,2013-06-07,2276359.0,2013
1986,2013-06-08,2001323.0,2013
1987,2013-06-09,1871936.0,2013
1988,2013-06-10,2242001.0,2013
1989,2013-06-11,2302514.0,2013
1990,2013-06-12,2313750.0,2013
1991,2013-06-13,2309469.0,2013
1992,2013-06-14,2269308.0,2013
1993,2013-06-15,1996549.0,2013
1994,2013-06-16,1853985.0,2013
1995,2013-06-17,2260791.0,2013
1996,2013-06-18,2338780.0,2013
1997,2013-06-19,2340092.0,2013
1998,2013-06-20,2322924.0,2013
1999,2013-06-21,2272793.0,2013
2000,2013-06-22,1999014.0,2013
2001,2013-06-23,1870357.0,2013
2002,2013-06-24,2238330.0,2013
2003,2013-06-25,2299350.0,2013
2004,2013-06-26,2299912.0,2013
2005,2013-06-27,2308533.0,2013
2006,2013-06-28,2286186.0,2013
2007,2013-06-29,2021629.0,2013
2008,2013-06-30,1864836.0,2013
2009,2013-07-01,2235258.0,2013
2010,2013-07-02,2311294.0,2013
2011,2013-07-03,2325724.0,2013
2012,2013-07-04,2322326.0,2013
2013,2013-07-05,2299410.0,2013
2014,2013-07-06,2034717.0,2013
2015,2013-07-07,1885324.0,2013
2016,2013-07-08,2290696.0,2013
2017,2013-07-09,2374044.0,2013
2018,2013-07-10,2383423.0,2013
2019,2013-07-11,2358559.0,2013
2020,2013-07-12,2326897.0,2013
2021,2013-07-13,2052717.0,2013
2022,2013-07-14,1887491.0,2013
2023,2013-07-15,2287696.0,2013
2024,2013-07-16,2367098.0,2013
2025,2013-07-17,2370711.0,2013
2026,2013-07-18,2368154.0,2013
2027,2013-07-19,2338376.0,2013
2028,2013-07-20,2073311.0,2013
2029,2013-07-21,1930139.0,2013
2030,2013-07-22,2334008.0,2013
2031,2013-07-23,2388969.0,2013
2032,2013-07-24,2372044.0,2013
2033,2013-07-25,2393774.0,2013
2034,2013-07-26,2343374.0,2013
2035,2013-07-27,2045249.0,2013
2036,2013-07-28,1861901.0,2013
2037,2013-07-29,2134374.0,2013
2038,2013-07-30,2190144.0,2013
2039,2013-07-31,2219637.0,2013
2040,2013-08-01,2253884.0,2013
2041,2013-08-02,2215798.0,2013
2042,2013-08-03,1946322.0,2013
2043,2013-08-04,1816812.0,2013
2044,2013-08-05,2082754.0,2013
2045,2013-08-06,2097431.0,2013
2046,2013-08-07,2049959.0,2013
2047,2013-08-08,2016938.0,2013
2048,2013-08-09,2002966.0,2013
2049,2013-08-10,1833744.0,2013
2050,2013-08-11,1726793.0,2013
2051,2013-08-12,1972925.0,2013
2052,2013-08-13,2008306.0,2013
2053,2013-08-14,2007541.0,2013
2054,2013-08-15,1826439.0,2013
2055,2013-08-16,1964620.0,2013
2056,2013-08-17,1876832.0,2013
2057,2013-08-18,1780189.0,2013
2058,2013-08-19,2041717.0,2013
2059,2013-08-20,2085025.0,2013
2060,2013-08-21,2103748.0,2013
2061,2013-08-22,2128765.0,2013
2062,2013-08-23,2140541.0,2013
2063,2013-08-24,1934740.0,2013
2064,2013-08-25,1794506.0,2013
2065,2013-08-26,2122988.0,2013
2066,2013-08-27,2226204.0,2013
2067,2013-08-28,2239258.0,2013
2068,2013-08-29,2257703.0,2013
2069,2013-08-30,2241722.0,2013
2070,2013-08-31,1983083.0,2013
2071,2013-09-01,1837915.0,2013
2072,2013-09-02,2205136.0,2013
2073,2013-09-03,2305660.0,2013
2074,2013-09-04,2342925.0,2013
2075,2013-09-05,2349881.0,2013
2076,2013-09-06,2299154.0,2013
2077,2013-09-07,1996625.0,2013
2078,2013-09-08,1852492.0,2013
2079,2013-09-09,2218393.0,2013
2080,2013-09-10,2269110.0,2013
2081,2013-09-11,2320727.0,2013
2082,2013-09-12,2346946.0,2013
2083,2013-09-13,2319961.0,2013
2084,2013-09-14,2046465.0,2013
2085,2013-09-15,1907556.0,2013
2086,2013-09-16,2285399.0,2013
2087,2013-09-17,2400361.0,2013
2088,2013-09-18,2392577.0,2013
2089,2013-09-19,2383901.0,2013
2090,2013-09-20,2323458.0,2013
2091,2013-09-21,2039219.0,2013
2092,2013-09-22,1895373.0,2013
2093,2013-09-23,2254259.0,2013
2094,2013-09-24,2320527.0,2013
2095,2013-09-25,2332458.0,2013
2096,2013-09-26,2335323.0,2013
2097,2013-09-27,2302877.0,2013
2098,2013-09-28,2027303.0,2013
2099,2013-09-29,1894922.0,2013
2100,2013-09-30,2258176.0,2013
2101,2013-10-01,2341256.0,2013
2102,2013-10-02,2355323.0,2013
2103,2013-10-03,2363058.0,2013
2104,2013-10-04,2326974.0,2013
2105,2013-10-05,2041975.0,2013
2106,2013-10-06,1914706.0,2013
2107,2013-10-07,2284652.0,2013
2108,2013-10-08,2365379.0,2013
2109,2013-10-09,2387124.0,2013
2110,2013-10-10,2475771.0,2013
2111,2013-10-11,2553231.0,2013
2112,2013-10-12,2358130.0,2013
2113,2013-10-13,2258322.0,2013
2114,2013-10-14,2580761.0,2013
2115,2013-10-15,2620980.0,2013
2116,2013-10-16,2626705.0,2013
2117,2013-10-17,2553611.0,2013
2118,2013-10-18,2517303.0,2013
2119,2013-10-19,2215792.0,2013
2120,2013-10-20,2037607.0,2013
2121,2013-10-21,2380626.0,2013
2122,2013-10-22,2427104.0,2013
2123,2013-10-23,2418445.0,2013
2124,2013-10-24,2441121.0,2013
2125,2013-10-25,2410696.0,2013
2126,2013-10-26,2110429.0,2013
2127,2013-10-27,2009329.0,2013
2128,2013-10-28,2386598.0,2013
2129,2013-10-29,2541479.0,2013
2130,2013-10-30,2645892.0,2013
2131,2013-10-31,2696120.0,2013
2132,2013-11-01,2394192.0,2013
2133,2013-11-02,2292500.0,2013
2134,2013-11-03,2258939.0,2013
2135,2013-11-04,2723886.0,2013
2136,2013-11-05,2897466.0,2013
2137,2013-11-06,2757171.0,2013
2138,2013-11-07,2671279.0,2013
2139,2013-11-08,2680682.0,2013
2140,2013-11-09,2508453.0,2013
2141,2013-11-10,2402705.0,2013
2142,2013-11-11,2580550.0,2013
2143,2013-11-12,2941327.0,2013
2144,2013-11-13,2984765.0,2013
2145,2013-11-14,3118403.0,2013
2146,2013-11-15,3181126.0,2013
2147,2013-11-16,2949565.0,2013
2148,2013-11-17,2809072.0,2013
2149,2013-11-18,3203809.0,2013
2150,2013-11-19,3297301.0,2013
2151,2013-11-20,3480764.0,2013
2152,2013-11-21,3484587.0,2013
2153,2013-11-22,3556467.0,2013
2154,2013-11-23,3228271.0,2013
2155,2013-11-24,3011264.0,2013
2156,2013-11-25,3346415.0,2013
2157,2013-11-26,3447942.0,2013
2158,2013-11-27,3515441.0,2013
2159,2013-11-28,3664329.0,2013
2160,2013-11-29,3545623.0,2013
2161,2013-11-30,3173502.0,2013
2162,2013-12-01,3057029.0,2013
2163,2013-12-02,3440160.0,2013
2164,2013-12-03,3568702.0,2013
2165,2013-12-04,3628243.0,2013
2166,2013-12-05,3549130.0,2013
2167,2013-12-06,3452506.0,2013
2168,2013-12-07,3179665.0,2013
2169,2013-12-08,3081254.0,2013
2170,2013-12-09,3575112.0,2013
2171,2013-12-10,3647617.0,2013
2172,2013-12-11,3628244.0,2013
2173,2013-12-12,3642172.0,2013
2174,2013-12-13,3587725.0,2013
2175,2013-12-14,3217220.0,2013
2176,2013-12-15,3056761.0,2013
2177,2013-12-16,3353213.0,2013
2178,2013-12-17,3355016.0,2013
2179,2013-12-18,3271689.0,2013
2180,2013-12-19,3244579.0,2013
2181,2013-12-20,3267095.0,2013
2182,2013-12-21,3074863.0,2013
2183,2013-12-22,2826884.0,2013
2184,2013-12-23,2958045.0,2013
2185,2013-12-24,2826032.0,2013
2186,2013-12-25,2514424.0,2013
2187,2013-12-26,2890405.0,2013
2188,2013-12-27,2944092.0,2013
2189,2013-12-28,2795763.0,2013
2190,2013-12-29,2799878.0,2013
2191,2013-12-30,3119023.0,2013
2192,2013-12-31,3048781.0,2013
