Nobs,jour,consommation,Année
4019,2019-01-01,2807293.0,2019
4020,2019-01-02,3174916.0,2019
4021,2019-01-03,3477194.0,2019
4022,2019-01-04,3600466.0,2019
4023,2019-01-05,3386171.0,2019
4024,2019-01-06,3249779.0,2019
4025,2019-01-07,3528395.0,2019
4026,2019-01-08,3479090.0,2019
4027,2019-01-09,3556114.0,2019
4028,2019-01-10,3718457.0,2019
4029,2019-01-11,3673345.0,2019
4030,2019-01-12,3291982.0,2019
4031,2019-01-13,2985828.0,2019
4032,2019-01-14,3266927.0,2019
4033,2019-01-15,3388028.0,2019
4034,2019-01-16,3498089.0,2019
4035,2019-01-17,3426540.0,2019
4036,2019-01-18,3597087.0,2019
4037,2019-01-19,3382820.0,2019
4038,2019-01-20,3229269.0,2019
4039,2019-01-21,3686821.0,2019
4040,2019-01-22,3808357.0,2019
4041,2019-01-23,3775367.0,2019
4042,2019-01-24,3853683.0,2019
4043,2019-01-25,3719719.0,2019
4044,2019-01-26,3240213.0,2019
4045,2019-01-27,3089064.0,2019
4046,2019-01-28,3541805.0,2019
4047,2019-01-29,3675498.0,2019
4048,2019-01-30,3702185.0,2019
4049,2019-01-31,3756043.0,2019
4050,2019-02-01,3550951.0,2019
4051,2019-02-02,3327711.0,2019
4052,2019-02-03,3300618.0,2019
4053,2019-02-04,3752491.0,2019
4054,2019-02-05,3616356.0,2019
4055,2019-02-06,3474922.0,2019
4056,2019-02-07,3388627.0,2019
4057,2019-02-08,3357280.0,2019
4058,2019-02-09,3007979.0,2019
4059,2019-02-10,2894918.0,2019
4060,2019-02-11,3350000.0,2019
4061,2019-02-12,3448694.0,2019
4062,2019-02-13,3451185.0,2019
4063,2019-02-14,3361217.0,2019
4064,2019-02-15,3215377.0,2019
4065,2019-02-16,2892267.0,2019
4066,2019-02-17,2703892.0,2019
4067,2019-02-18,3029136.0,2019
4068,2019-02-19,3109864.0,2019
4069,2019-02-20,3149920.0,2019
4070,2019-02-21,3093128.0,2019
4071,2019-02-22,2986438.0,2019
4072,2019-02-23,2648189.0,2019
4073,2019-02-24,2579246.0,2019
4074,2019-02-25,2903477.0,2019
4075,2019-02-26,2873139.0,2019
4076,2019-02-27,2823021.0,2019
4077,2019-02-28,2831796.0,2019
4078,2019-03-01,2852944.0,2019
4079,2019-03-02,2629715.0,2019
4080,2019-03-03,2504330.0,2019
4081,2019-03-04,2901317.0,2019
4082,2019-03-05,2979886.0,2019
4083,2019-03-06,2968576.0,2019
4084,2019-03-07,2941422.0,2019
4085,2019-03-08,2953550.0,2019
4086,2019-03-09,2653390.0,2019
4087,2019-03-10,2468319.0,2019
4088,2019-03-11,2939919.0,2019
4089,2019-03-12,3073678.0,2019
4090,2019-03-13,3093638.0,2019
4091,2019-03-14,3137201.0,2019
4092,2019-03-15,2964870.0,2019
4093,2019-03-16,2577505.0,2019
4094,2019-03-17,2532608.0,2019
4095,2019-03-18,2995886.0,2019
4096,2019-03-19,3019322.0,2019
4097,2019-03-20,2979658.0,2019
4098,2019-03-21,2885787.0,2019
4099,2019-03-22,2773157.0,2019
4100,2019-03-23,2473399.0,2019
4101,2019-03-24,2346686.0,2019
4102,2019-03-25,2745949.0,2019
4103,2019-03-26,2834061.0,2019
4104,2019-03-27,2829119.0,2019
4105,2019-03-28,2776972.0,2019
4106,2019-03-29,2674007.0,2019
4107,2019-03-30,2351244.0,2019
4108,2019-03-31,2222567.0,2019
4109,2019-04-01,2502673.0,2019
4110,2019-04-02,2588346.0,2019
4111,2019-04-03,2831817.0,2019
4112,2019-04-04,2949337.0,2019
4113,2019-04-05,2882253.0,2019
4114,2019-04-06,2585937.0,2019
4115,2019-04-07,2435491.0,2019
4116,2019-04-08,2718844.0,2019
4117,2019-04-09,2716778.0,2019
4118,2019-04-10,2731910.0,2019
4119,2019-04-11,2741830.0,2019
4120,2019-04-12,2745091.0,2019
4121,2019-04-13,2550673.0,2019
4122,2019-04-14,2508108.0,2019
4123,2019-04-15,2754430.0,2019
4124,2019-04-16,2696155.0,2019
4125,2019-04-17,2608527.0,2019
4126,2019-04-18,2468176.0,2019
4127,2019-04-19,2347643.0,2019
4128,2019-04-20,2077224.0,2019
4129,2019-04-21,1946667.0,2019
4130,2019-04-22,1974551.0,2019
4131,2019-04-23,2297671.0,2019
4132,2019-04-24,2364623.0,2019
4133,2019-04-25,2444563.0,2019
4134,2019-04-26,2464132.0,2019
4135,2019-04-27,2245617.0,2019
4136,2019-04-28,2226266.0,2019
4137,2019-04-29,2510101.0,2019
4138,2019-04-30,2464403.0,2019
4139,2019-05-01,2057941.0,2019
4140,2019-05-02,2391730.0,2019
4141,2019-05-03,2452154.0,2019
4142,2019-05-04,2340078.0,2019
4143,2019-05-05,2350657.0,2019
4144,2019-05-06,2645884.0,2019
4145,2019-05-07,2574509.0,2019
4146,2019-05-08,2278566.0,2019
4147,2019-05-09,2509046.0,2019
4148,2019-05-10,2477014.0,2019
4149,2019-05-11,2202387.0,2019
4150,2019-05-12,2098827.0,2019
4151,2019-05-13,2400122.0,2019
4152,2019-05-14,2388132.0,2019
4153,2019-05-15,2369782.0,2019
4154,2019-05-16,2362477.0,2019
4155,2019-05-17,2371370.0,2019
4156,2019-05-18,2140785.0,2019
4157,2019-05-19,2049781.0,2019
4158,2019-05-20,2361537.0,2019
4159,2019-05-21,2357504.0,2019
